sitegeo,DATE,brand_name,impressions,clicks,leads,current_rate_converted,deposits
AEAE,2021-02-18,AL,13102,32,3,50.9712,0
AEAE,2021-02-18,Capital.com,12163,44,3,45.0,0
AEAE,2021-02-17,AL,38229,98,5,50.9712,0
AEAE,2021-02-17,Capital.com,33796,71,7,45.0,0
AEAE,2021-02-16,AL,24990,53,4,50.9712,0
AEAE,2021-02-16,Capital.com,47216,97,8,45.0,0
AEBH,2021-02-18,Capital.com,615,3,0,10.0,0
AEBH,2021-02-18,Europrime,651,1,0,40.0,0
AEBH,2021-02-18,Iforex,611,2,0,40.0,0
AEBH,2021-02-17,Capital.com,1700,6,0,10.0,0
AEBH,2021-02-17,Europrime,1642,12,0,40.0,0
AEBH,2021-02-17,Iforex,1653,1,0,40.0,0
AEBH,2021-02-16,Capital.com,1853,7,3,10.0,0
AEBH,2021-02-16,Europrime,1866,7,0,40.0,0
AEBH,2021-02-16,Iforex,1809,4,1,40.0,0
AEBH,2021-02-15,Capital.com,1360,2,0,10.0,0
AEBH,2021-02-15,Europrime,1307,6,0,40.0,0
AEBH,2021-02-15,Iforex,1300,6,0,40.0,0
AEBH,2021-02-14,Capital.com,527,1,0,10.0,0
AEBH,2021-02-14,Europrime,550,8,0,40.0,0
AEBH,2021-02-14,Iforex,579,7,0,40.0,0
AEBH,2021-02-13,Capital.com,608,2,0,10.0,0
AEBH,2021-02-13,Europrime,573,5,0,40.0,0
AEBH,2021-02-13,Iforex,559,6,1,40.0,0
AEBH,2021-02-12,Capital.com,2073,5,2,10.0,0
AEBH,2021-02-12,Europrime,2012,5,0,40.0,0
AEBH,2021-02-12,Iforex,2025,2,0,40.0,0
AEBJ,2021-02-18,Capital.com,95,0,0,3.0,0
AEBJ,2021-02-17,Capital.com,126,0,0,3.0,0
AEBJ,2021-02-16,Capital.com,76,0,0,3.0,0
AEBJ,2021-02-15,Capital.com,85,0,0,3.0,0
AEBJ,2021-02-14,Capital.com,129,0,0,3.0,0
AEBJ,2021-02-13,Capital.com,81,0,0,3.0,0
AEBJ,2021-02-12,Capital.com,131,0,0,3.0,0
AEDJ,2021-02-18,Capital.com,26,0,0,5.0,0
AEDJ,2021-02-17,Capital.com,56,1,0,5.0,0
AEDJ,2021-02-16,Capital.com,43,0,0,5.0,0
AEDJ,2021-02-15,Capital.com,50,1,0,5.0,0
AEDJ,2021-02-14,Capital.com,11,0,0,5.0,0
AEDJ,2021-02-13,Capital.com,80,0,0,5.0,0
AEDJ,2021-02-12,Capital.com,17,0,0,5.0,0
AEEG,2021-02-18,Capital.com,100221,393,32,3.0,0
AEEG,2021-02-17,Capital.com,115647,460,37,3.0,0
AEHU,2021-02-18,Capital.com,30,0,0,10.0,0
AEHU,2021-02-18,XM,42,0,0,60.0,0
AEHU,2021-02-17,Capital.com,160,0,0,10.0,0
AEHU,2021-02-17,XM,35,0,0,60.0,0
AEIQ,2021-02-18,Iforex,61861,250,16,8.5,0
AEIQ,2021-02-17,Iforex,181466,688,29,8.5,0
AEIQ,2021-02-16,Iforex,157834,715,45,8.5,0
AEIQ,2021-02-15,Iforex,159256,715,37,8.5,0
AEIQ,2021-02-14,Iforex,63568,441,15,8.5,0
AEIQ,2021-02-13,Iforex,66762,429,20,8.5,0
AEIQ,2021-02-12,Iforex,164540,659,30,8.5,0
AEJO,2021-02-18,Capital.com,29970,71,8,14.0,0
AEJO,2021-02-17,Capital.com,130998,271,19,14.0,0
AEJO,2021-02-16,Capital.com,127086,252,10,14.0,0
AEJO,2021-02-15,Capital.com,85339,186,14,14.0,0
AEJO,2021-02-14,Capital.com,38961,174,13,14.0,1
AEJO,2021-02-13,Capital.com,39068,180,20,14.0,0
AEJO,2021-02-12,Capital.com,120231,257,11,14.0,0
AEKW,2021-02-18,AL,6997,26,0,50.9712,0
